Character string	CV-category	CV-category_finegrained
a	V	V
e	V	V
o	V	V
i	V	V
n	C	Z
r	C	Z
s	C	K
t	C	K
l	C	Z
j	C	Z
v	C	Z
k	C	K
d	C	G
p	C	K
m	C	Z
z	C	G
u	V	V
b	C	G
g	C	G
č	C	K
h	C	K
š	C	K
c	C	K
ž	C	G
0	N	N
f	C	K
1	N	N
.	P	P
2	N	N
5	N	N
3	N	N
9	N	N
4	N	N
6	N	N
8	N	N
7	N	N
y	Y	Y
w	X	X
,	P	P
:	P	P
ć	X	X
x	X	X
q	X	X
-	P	P
ü	Y	Y
ö	Y	Y
'	P	P
/	P	P
đ	X	X
é	V	V
ä	Y	Y
á	V	V
ĺ	X	X
ë	Y	Y
ó	V	V
ą	Y	Y
í	V	V
ø	Y	Y
è	V	V
ç	X	X
@	S	S
å	Y	Y
à	V	V
ñ	X	X
â	Y	Y
ł	X	X
ȕ	Y	Y
ô	V	V
_	P	P
ú	V	V
ê	V	V
ř	X	X
ß	X	X
ʼ	P	P
π	F	F
ů	Y	Y
æ	Y	Y
ğ	X	X
?	P	P
ã	Y	Y
œ	Y	Y
=	P	P
ă	Y	Y
ò	V	V
î	Y	Y
ï	Y	Y
µ	F	F
ő	Y	Y
ş	X	X
ń	X	X
ť	X	X
ś	X	X
ý	Y	Y
ù	V	V
ð	X	X
ě	Y	Y
о	F	F
а	F	F
ı	F	F
ì	V	V
%	S	S
ż	X	X
¾	S	S
ď	X	X
~	S	S
е	V	V
º	S	S
и	F	F
ę	Y	Y
н	F	F
μ	F	F
α	F	F
û	Y	Y
ű	Y	Y
р	F	F
ň	X	X
т	F	F
¬	S	S
ź	X	X
с	F	F
ţ	X	X
м	F	F
β	F	F
д	F	F
в	F	F
õ	Y	Y
л	F	F
²	S	S
ŕ	X	X
к	F	F
у	F	F
ˇ	S	S
ω	F	F
–	P	P
ē	Y	Y
б	F	F
ĉ	X	X
σ	F	F
ε	F	F
φ	F	F
#	S	S
ė	Y	Y
п	F	F
ÿ	Y	Y
ľ	X	X
я	F	F
ā	Y	Y
ō	Y	Y
г	F	F
ρ	F	F
ι	F	F
ь	F	F
ə	S	S
λ	F	F
ο	F	F
ч	F	F
з	F	F
γ	F	F
й	F	F
̇	P	P
ū	Y	Y
τ	F	F
ы	F	F
δ	F	F
